"","partcipantId","teamId","participantId","win","item0","item1","item2","item3","item4","item5","item6","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","inhibitorKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist","combatPlayerScore","objectivePlayerScore","totalPlayerScore","totalScoreRank","playerScore0","playerScore1","playerScore2","playerScore3","playerScore4","playerScore5","playerScore6","playerScore7","playerScore8","playerScore9","platformId","accountId","summonerName","summonerId","currentPlatformId","currentAccountId","matchHistoryUri","profileIcon","duration"
"33404094958",9,200,9,FALSE,3147,3033,3111,0,0,0,3340,0,9,4,0,0,0,241,0,0,0,0,0,76803,9486,67317,0,0,12905,2894,10010,0,885,1,9569,725,725,23,8,16414,3704,12414,296,7460,6975,0,0,118,1,1,0,133,12,1,0,9,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",228247387,"RKS Reidoz",87978165,"EUW1",228247387,"/v1/stats/player_history/EUW1/228247387",3015,1573
"33404094959",10,200,10,FALSE,3096,3107,3117,3504,0,0,3340,1,7,6,0,1,0,369,0,0,0,0,0,13030,8516,4514,0,0,5464,4165,1298,0,5537,5,5583,219,0,23,21,13578,4919,8195,463,7069,6625,0,0,10,1,1,0,116,12,3,0,13,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",42479102,"Unknown Kudo",40380583,"EUW1",42479102,"/v1/stats/player_history/EUW1/42479102",1107,1573
"33403478080",1,100,1,FALSE,1055,3004,3158,3078,3035,1036,3340,4,8,7,2,2,1,521,1,0,0,0,0,93804,15164,78227,412,0,13814,2851,10782,180,2541,3,8329,2808,0,8,0,18619,8034,9349,1236,9812,9183,0,0,148,2,2,0,51,14,0,0,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",41808027,"RKS MC One",39619524,"EUW1",41808027,"/v1/stats/player_history/EUW1/41808027",3020,1816
"33403478081",2,100,2,FALSE,1409,2031,3065,3047,3105,0,3364,1,8,14,0,1,0,673,0,0,0,0,0,80456,55903,16538,8015,360,11374,9086,1975,312,9877,1,33688,2478,0,53,38,34276,14297,18086,1892,8867,8025,0,0,43,43,39,0,648,13,5,0,28,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",28537998,"Kazeel",24136128,"EUW1",28537998,"/v1/stats/player_history/EUW1/28537998",3014,1816
"33403478082",3,100,3,FALSE,3165,3158,3116,0,1058,1026,3340,4,8,4,3,1,1,486,0,0,0,0,0,145112,112545,11406,21160,0,16187,11298,672,4216,995,1,5909,2058,0,16,19,15579,10319,3833,1426,10784,9325,0,0,191,4,4,0,807,15,1,0,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",35512027,"Mashu",31860960,"EUW1",35512027,"/v1/stats/player_history/EUW1/35512027",24,1816
"33403478083",4,100,4,FALSE,3147,3071,3111,3035,3123,2055,3340,7,8,4,3,2,2,377,1,0,0,0,0,99689,13910,85779,0,0,19839,4485,15353,0,1973,1,11808,6331,3161,11,9,25231,12382,10825,2023,10345,11445,1,0,125,0,0,0,182,14,3,0,6,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",228247387,"RKS Reidoz",87978165,"EUW1",228247387,"/v1/stats/player_history/EUW1/228247387",3015,1816
"33403478084",5,100,5,FALSE,3401,2049,3190,3010,3117,1029,3341,5,5,8,2,1,1,674,0,0,0,0,0,16717,7737,5876,3102,0,7123,4303,2004,816,7564,5,24323,702,0,53,39,20861,8745,11014,1101,8698,7975,0,0,26,0,0,0,82,12,3,0,25,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",42479102,"Unknown Kudo",40380583,"EUW1",42479102,"/v1/stats/player_history/EUW1/42479102",1107,1816
"33403478085",6,200,6,TRUE,3031,1055,3072,3006,1036,0,3340,3,4,15,2,1,1,716,0,0,0,0,0,87973,5851,82121,0,855,18952,1132,17820,0,3048,3,8209,11068,7154,13,7,13334,5585,7305,442,10783,9300,1,0,132,0,0,0,126,14,0,0,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",39531175,"Myka x",36694014,"EUW1",39531175,"/v1/stats/player_history/EUW1/39531175",7,1816
"33403478086",7,200,7,TRUE,3152,3193,3027,1054,3047,1006,3340,6,6,5,3,1,2,490,0,0,0,0,0,105108,71681,23699,9726,0,15771,10805,1330,3635,6380,1,25570,4018,2518,19,83,30832,8930,18864,3036,11078,9625,1,1,154,8,7,1,590,14,1,0,14,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",186345,"Morgranth",180612,"EUW1",186345,"/v1/stats/player_history/EUW1/186345",3025,1816
"33403478087",8,200,8,TRUE,3092,3040,3165,3158,1026,0,3340,4,2,18,2,1,1,1054,0,0,0,0,0,62152,56227,5378,546,0,16981,14616,1819,546,6659,3,5447,3622,1697,34,39,12989,4510,8200,278,10705,10325,0,0,38,4,0,4,208,14,1,0,12,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",21674373,"Bobje",19012536,"EUW1",21674373,"/v1/stats/player_history/EUW1/21674373",522,1816
